Entry,Protein names,Gene names  (ordered locus ),Gene ontology (biological process)
P53150,Ligase-interacting factor 1,YGL090W,double-strand break repair via nonhomologous end joining [GO:0006303]
P40970,Serine palmitoyltransferase 2 (SPT 2) (EC 2.3.1.50) (Long chain base biosynthesis protein 2),YDR062W,sphingolipid biosynthetic process [GO:0030148]
Q12502,Protein LDB19 (Low dye-binding protein 19),YOR322C,cell cycle [GO:0007049]; positive regulation of receptor internalization [GO:0002092]; ubiquitin-dependent endocytosis [GO:0070086]
P36146,Protein LAS1,YKR063C,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000448]; maturation of 5.8S rRNA [GO:0000460]; maturation of LSU-rRNA [GO:0000470]"
P38139,Lipid droplet hydrolase 1 (EC 3.1.1.-) (Lipid esterase) (EC 3.1.1.-) (Triacylglycerol lipase) (EC 3.1.1.3),YBR204C,lipid catabolic process [GO:0016042]; lipid homeostasis [GO:0055088]
P34232,mRNA transport regulator MTR2,YKL186C,nucleocytoplasmic transport [GO:0006913]; poly(A)+ mRNA export from nucleus [GO:0016973]; protein import into nucleus [GO:0006606]; ribosomal large subunit export from nucleus [GO:0000055]; ribosomal small subunit export from nucleus [GO:0000056]
P48240,Exosome complex component MTR3 (mRNA transport regulator 3),YGR158C,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000467]; nonfunctional rRNA decay [GO:0070651]; nuclear mRNA surveillance [GO:0071028]; nuclear polyadenylation-dependent CUT catabolic process [GO:0071039]; nuclear polyadenylation-dependent mRNA catabolic process [GO:0071042]; nuclear polyadenylation-dependent rRNA catabolic process [GO:0071035]; nuclear polyadenylation-dependent tRNA catabolic process [GO:0071038]; nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay [GO:0070478]; nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' [GO:0034427]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; polyadenylation-dependent snoRNA 3'-end processing [GO:0071051]; rRNA catabolic process [GO:0016075]; U4 snRNA 3'-end processing [GO:0034475]"
P08638,Regulatory protein LEU3,YLR451W,leucine biosynthetic process [GO:0009098]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of leucine biosynthetic process [GO:2001278]; positive regulation of transcription by RNA polymerase II [GO:0045944]
P33399,La protein homolog (La autoantigen homolog) (La ribonucleoprotein),YDL051W,tRNA processing [GO:0008033]
Q04005,Protein ATC1/LIC4 (AIP3 complex protein 1) (Lithium comvertas protein 4),YDR184C,bipolar cellular bud site selection [GO:0007121]; cellular cation homeostasis [GO:0030003]
Q03579,Ceramide synthase subunit LIP1 (LAG1/LAC1-interacting protein 1),YMR298W,ceramide biosynthetic process [GO:0046513]
P32875,"Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)",YOR196C,lipoate biosynthetic process [GO:0009107]; protein lipoylation [GO:0009249]
Q10740,Leucine aminopeptidase 2 (EC 3.4.11.-) (Epoxide hydrolase) (EC 3.3.2.10) (Leucyl aminopeptidase yscIV) (AP IV) (Leukotriene A-4 hydrolase homolog) (LTA-4 hydrolase),YNL045W,cellular lipid metabolic process [GO:0044255]; peptide catabolic process [GO:0043171]; protein catabolic process [GO:0030163]
P34234,Protein LOT5 (Low temperature-responsive protein 5),YKL183W,
P22023,Killer toxin-resistance protein 5,YOR336W,cell wall organization [GO:0071555]; ER-associated misfolded protein catabolic process [GO:0071712]; fungal-type cell wall beta-glucan biosynthetic process [GO:0070880]; protein N-linked glycosylation via asparagine [GO:0018279]
P31379,Outer spore wall protein LDS1 (Lipid droplets in sporulation protein 1),YAL018C,ascospore wall assembly [GO:0030476]
P27809,"Glycolipid 2-alpha-mannosyltransferase (EC 2.4.1.-) (Alpha-1,2-mannosyltransferase)",YDR483W,cell wall mannoprotein biosynthetic process [GO:0000032]; N-glycan processing [GO:0006491]; protein N-linked glycosylation [GO:0006487]; protein O-linked glycosylation [GO:0006493]
P38703,Sphingosine N-acyltransferase LAG1 (EC 2.3.1.24) (Longevity assurance factor 1) (Longevity assurance gene 1 protein) (Longevity assurance protein 1),YHL003C,ceramide biosynthetic process [GO:0046513]; replicative cell aging [GO:0001302]
P50107,Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase),YML004C,glutathione metabolic process [GO:0006749]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]
Q12060,Transcriptional coactivator HFI1/ADA1,YPL254W,chromatin organization [GO:0006325]; histone acetylation [GO:0016573]; histone H3 acetylation [GO:0043966]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366]
P00498,ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17),YER055C,histidine biosynthetic process [GO:0000105]
P33734,Imidazole glycerol phosphate synthase hisHF (IGP synthase) (IGPS) (ImGP synthase) (EC 4.3.2.10) [Includes: Glutaminase (EC 3.5.1.2); Cyclase],YBR248C,glutamine metabolic process [GO:0006541]; histidine biosynthetic process [GO:0000105]
P16622,"Ferrochelatase, mitochondrial (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)",YOR176W,heme biosynthetic process [GO:0006783]
P35843,Protein HES1 (Oxysterol-binding protein homolog 5),YOR237W,endocytosis [GO:0006897]; exocytosis [GO:0006887]; maintenance of cell polarity [GO:0030011]; piecemeal microautophagy of the nucleus [GO:0034727]; sterol biosynthetic process [GO:0016126]; sterol transport [GO:0015918]
Q04429,Protein HLR1 (LRE1 homolog),YDR528W,fungal-type cell wall organization [GO:0031505]
P47175,Probable transcription factor HMS2 (High-copy MEP suppressor 2),YJR147W,cellular response to heat [GO:0034605]; positive regulation of transcription from RNA polymerase II promoter in response to heat stress [GO:0061408]; pseudohyphal growth [GO:0007124]
Q03973,High mobility group protein 1 (High spontaneous mutagenesis protein 2),YDR174W,chromosome condensation [GO:0030261]; DNA packaging [GO:0006323]; dsDNA loop formation [GO:0090579]; regulation of ribosomal protein gene transcription by RNA polymerase II [GO:0060962]; regulation of transcription by RNA polymerase I [GO:0006356]; transcriptional start site selection at RNA polymerase II promoter [GO:0001174]
Q12122,"Homocitrate synthase, mitochondrial (EC 2.3.3.14)",YDL131W,lysine biosynthetic process via aminoadipic acid [GO:0019878]
P40481,Histidine protein methyltransferase 1 (EC 2.1.1.85) (Mitotic exit network interactor 1),YIL110W,"peptidyl-histidine methylation, to form tele-methylhistidine [GO:0042038]; positive regulation of translational fidelity [GO:0045903]; ribosomal large subunit assembly [GO:0000027]"
Q05787,ERAD-associated E3 ubiquitin-protein ligase component HRD3 (HMG-CoA reductase degradation protein 3),YLR207W,"protein ubiquitination [GO:0016567]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent ERAD pathway [GO:0030433]"
Q05905,Protein HRI1 (HRR25-interacting protein 1),YLR301W,cotranslational protein targeting to membrane [GO:0006613]
P34244,Probable serine/threonine-protein kinase HSL1 (EC 2.7.11.1),YKL101W,cellular protein catabolic process [GO:0044257]; G2/M transition of mitotic cell cycle [GO:0000086]; intracellular signal transduction [GO:0035556]; morphogenesis checkpoint [GO:0044879]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]; protein localization to septin ring [GO:1902935]; protein phosphorylation [GO:0006468]; regulation of cell cycle [GO:0051726]
Q99181,Protein HSH49,YOR319W,"mRNA splicing, via spliceosome [GO:0000398]"
P11353,Oxygen-dependent coproporphyrinogen-III oxidase (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3),YDR044W,heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process from glutamate [GO:0019353]
P19807,Choline transport protein,YGL077C,(R)-carnitine transport [GO:1900749]; amino acid transport [GO:0006865]; choline transport [GO:0015871]; ethanolamine transport [GO:0034229]; glycine betaine transport [GO:0031460]
P53096,Probable histone deacetylase HOS2 (EC 3.5.1.98),YGL194C,"chromatin organization [GO:0006325]; histone deacetylation [GO:0016575]; histone H3 deacetylation [GO:0070932]; histone H4 deacetylation [GO:0070933]; negative regulation of meiotic nuclear division [GO:0045835]; positive regulation of stress-activated MAPK cascade [GO:0032874]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]"
P09932,Homothallic switching endonuclease (Ho endonuclease),YDL227C,"gene conversion at mating-type locus, DNA double-strand break formation [GO:0000728]; intein-mediated protein splicing [GO:0016539]; mating type switching [GO:0007533]"
Q03213,High-osmolarity-induced transcription protein 1,YMR172W,cellular hyperosmotic salinity response [GO:0071475]; positive regulation of ribosomal protein gene transcription by RNA polymerase II [GO:0060963]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to osmotic stress [GO:0061393]; regulation of glycolytic process by positive regulation of transcription from RNA polymerase II promoter [GO:0072363]; RNA polymerase II preinitiation complex assembly [GO:0051123]
P38922,Protein HRB1 (Protein TOM34),YNL004W,nuclear mRNA surveillance [GO:0071028]; poly(A)+ mRNA export from nucleus [GO:0016973]; regulation of mRNA stability involved in response to oxidative stress [GO:2000815]
Q99383,Nuclear polyadenylated RNA-binding protein 4 (Cleavage factor IB) (CFIB),YOL123W,"mRNA polyadenylation [GO:0006378]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; pre-mRNA cleavage required for polyadenylation [GO:0098789]; response to DNA damage checkpoint signaling [GO:0072423]"
Q05549,ATP-dependent helicase HRQ1 (EC 3.6.4.12) (Homologous to recQ protein 1),YDR291W,DNA duplex unwinding [GO:0032508]; DNA strand renaturation [GO:0000733]; nucleotide-excision repair [GO:0006289]
P29295,Casein kinase I homolog HRR25 (EC 2.7.11.1),YPL204W,attachment of spindle microtubules to kinetochore involved in homologous chromosome segregation [GO:0051455]; autophagosome assembly [GO:0000045]; autophagy of peroxisome [GO:0030242]; DNA repair [GO:0006281]; endocytosis [GO:0006897]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; peptidyl-tyrosine autophosphorylation [GO:0038083]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of clathrin-dependent endocytosis [GO:2000370]; protein phosphorylation [GO:0006468]; regulation of ER to Golgi vesicle-mediated transport [GO:0060628]; regulation of protein localization [GO:0032880]; regulation of protein localization by the Cvt pathway [GO:2001159]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal small subunit biogenesis [GO:0042274]; tRNA wobble uridine modification [GO:0002098]; vesicle fusion with Golgi apparatus [GO:0048280]
P32480,Protein HIR2 (Histone transcription regulator 2),YOR038C,chromatin silencing at centromere [GO:0030702]; DNA replication-independent nucleosome assembly [GO:0006336]; mitotic sister chromatid segregation [GO:0000070]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of chromatin silencing [GO:0031935]; transcription elongation from RNA polymerase II promoter [GO:0006368]
Q12398,Probable transcription factor HMS1 (High-copy MEP suppressor protein 1),YOR032C,pseudohyphal growth [GO:0007124]
P38074,Protein arginine N-methyltransferase 1 (EC 2.1.1.-) (Major type I protein arginine N-methyltransferase) (Type I PRMT) (hnRNP arginine N-methyltransferase),YBR034C,"histone arginine methylation [GO:0034969]; mRNA export from nucleus [GO:0006406]; negative regulation of DNA-templated transcription, termination [GO:0060567]; peptidyl-arginine methylation [GO:0018216]; peptidyl-arginine methylation, to asymmetrical-dimethyl arginine [GO:0019919]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; regulation of transcription, DNA-templated [GO:0006355]"
Q05164,Haze protective factor 1,YOL155C,fungal-type cell wall organization [GO:0031505]
P17629,THO complex subunit HPR1 (Hyperrecombination protein 1),YDR138W,cellular response to DNA damage stimulus [GO:0006974]; DNA recombination [GO:0006310]; mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; positive regulation of transcription by RNA polymerase I [GO:0045943]; positive regulation of transcription elongation from RNA polymerase I promoter [GO:2001209]; transcription-coupled nucleotide-excision repair [GO:0006283]; transcription elongation from RNA polymerase II promoter [GO:0006368]
P32874,"Acetyl-CoA carboxylase, mitochondrial (ACC) (EC 6.4.1.2) [Includes: Biotin carboxylase (EC 6.3.4.14)]",YMR207C,fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]
P0CY07,Silenced mating-type protein ALPHA1 (MATalpha1 protein) (Alpha-1 activator),YCL066W,"positive regulation of mating-type specific transcription, DNA-templated [GO:0045895]; regulation of mating-type specific transcription, DNA-templated [GO:0007532]; regulation of transcription by RNA polymerase II [GO:0006357]"
P0CY09,Silenced mating-type protein ALPHA2 (MATalpha2 protein) (Alpha-2 repressor),YCL067C,negative regulation of mating-type specific transcription from RNA polymerase II promoter [GO:0001198]
P51979,ATP-dependent DNA helicase MER3 (EC 3.6.4.12) (Protein HFM1),YGL251C,DNA unwinding involved in DNA replication [GO:0006268]; meiotic cell cycle [GO:0051321]; protein localization to site of double-strand break [GO:1990166]; reciprocal meiotic recombination [GO:0007131]; synapsis [GO:0007129]
P32479,Protein HIR1 (Histone transcription regulator 1),YBL008W,chromatin silencing at centromere [GO:0030702]; DNA replication-independent nucleosome assembly [GO:0006336]; mitotic sister chromatid segregation [GO:0000070]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of chromatin silencing [GO:0031935]; transcription elongation from RNA polymerase II promoter [GO:0006368]
P41809,Signaling mucin HKR1 (Hansenula MRAKII killer toxin-resistant protein 1),YDR420W,(1->3)-beta-D-glucan biosynthetic process [GO:0006075]; cellular bud site selection [GO:0000282]; establishment of cell polarity [GO:0030010]; fungal-type cell wall organization [GO:0031505]; hyperosmotic response [GO:0006972]; osmosensory signaling pathway via Sho1 osmosensor [GO:0007232]; signal transduction involved in filamentous growth [GO:0001402]
P0CY11,Silenced mating-type protein A1 (MATa1 protein),YCR097W,"regulation of mating-type specific transcription, DNA-templated [GO:0007532]"
P0CY13,Silenced mating-type protein A2 (MATa2 protein),YCR096C,
Q12214,Histone deacetylase HOS1 (EC 3.5.1.98),YPR068C,histone H3 deacetylation [GO:0070932]; histone H4 deacetylation [GO:0070933]; peptidyl-lysine deacetylation [GO:0034983]; positive regulation of transcription by RNA polymerase II [GO:0045944]; transfer RNA gene-mediated silencing [GO:0061587]
P48570,"Homocitrate synthase, cytosolic isozyme (EC 2.3.3.14)",YDL182W,DNA repair [GO:0006281]; histone displacement [GO:0001207]; lysine biosynthetic process via aminoadipic acid [GO:0019878]
