Q9HMI6,Uncharacterized protein,VNG_2524H,
Q9HPN1,Cobalamin biosynthesis,VNG_1554G,cobalamin biosynthetic process [GO:0009236]
Q9HR68,Uncharacterized protein,VNG_0836H,
Q9HP83,Putative ABC transporter,VNG_1762G,
Q9HS01,Uncharacterized protein,VNG_0468C,oxidation-reduction process [GO:0055114]
Q9HHZ4,Vng6157h,VNG_6157H,
Q9HN19,Methylaspartate ammonia-lyase,VNG_2289G,
Q9HI03,Transfer complex protein,VNG_6144G,
Q9HRK0,Biotin acetyl-CoA carboxylase ligase,VNG_0664G,cellular protein modification process [GO:0006464]
Q9HN58,Uncharacterized protein,VNG_2241H,
Q9HHH2,Vng6401h,VNG_6401H,
Q9HQP6,Uncharacterized protein,VNG_1064H,
Q9HQF7,Heme biosynthesis protein,VNG_1184G,heme biosynthetic process [GO:0006783]
Q9HMT6,Thiosulfate sulfurtransferase,VNG_2394G,
Q9HRU6,Uncharacterized protein,VNG_0539C,
Q9HMJ4,Uncharacterized protein,VNG_2515H,
Q9HNF6,Uncharacterized protein,VNG_2124C,
Q9HQU2,Uncharacterized protein,VNG_1003H,
Q9HNZ4,Uncharacterized protein,VNG_1877C,
Q9HR17,Uncharacterized protein,VNG_0907H,
Q9HNQ4,Uncharacterized protein,VNG_1994C,maturation of SSU-rRNA [GO:0030490]
Q9HPS0,Uncharacterized protein,VNG_1497C,
Q9HSX0,Uncharacterized protein,VNG_0041C,
Q9HM97,Uncharacterized protein,VNG_2641H,
Q9HNB5,Alcohol dehydrogenase,VNG_2171G,
Q9HQI5,Isopentenyl phosphate kinase (IPK) (EC 2.7.4.26),VNG_1148G,
Q9HSY7,Uncharacterized protein,VNG_0023H,
Q9HMU1,Uncharacterized protein,VNG_2386C,
Q9HMA4,Uncharacterized protein,VNG_2633H,
Q9HNG5,Uncharacterized protein,VNG_2115H,cell redox homeostasis [GO:0045454]
Q9HNZ8,Uncharacterized protein,VNG_1872C,protein maturation [GO:0051604]
,,,
Q9HQN0,Uncharacterized protein,VNG_1085H,
Q9HNV3,NADH dehydrogenase/oxidoreductase-like protein,VNG_1932G,ubiquinone-6 biosynthetic process [GO:1901006]
Q9HMF1,Aconitase,VNG_2574G,tricarboxylic acid cycle [GO:0006099]
Q9HMX5,Uncharacterized protein,VNG_2341H,
Q9HSX7,Uncharacterized protein,VNG_0033H,
Q9HPE0,Uncharacterized protein,VNG_1681C,
Q9HQC4,Uncharacterized protein,VNG_1228C,
Q9HSX1,Uncharacterized protein,VNG_0040C,
Q9HPN0,Cobalamin biosynthesis,VNG_1555G,cobalamin biosynthetic process [GO:0009236]
Q9HR48,Uncharacterized protein,VNG_0865C,
Q9HP21,Uncharacterized protein,VNG_1843C,"regulation of transcription, DNA-templated [GO:0006355]"
Q9HPZ7,Uncharacterized protein,VNG_1402H,
Q9HNS4,Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3),VNG_1969G,glycerol-3-phosphate catabolic process [GO:0046168]; polyol catabolic process [GO:0046174]
Q9HPI5,Uncharacterized protein,VNG_1621H,
Q9HHM1,Vng6327h,VNG_6327H,
Q9HP95,Uncharacterized protein,VNG_1744H,
Q9HR29,DNA gyrase subunit A (EC 5.99.1.3),VNG_0889G,DNA-dependent DNA replication [GO:0006261]; DNA topological change [GO:0006265]
Q9HR46,Uncharacterized protein,VNG_0868H,
Q9HQY2,Flagella-related protein H,VNG_0950G,
,,,
Q9HRY9,Uncharacterized protein,VNG_0483C,
Q9HHU6,Vng6221h,VNG_6221H,
Q9HR40,Uncharacterized protein,VNG_0875C,
Q9HN42,Uncharacterized protein,VNG_2260H,
Q9HN75,Dihydrolipoamide S-acetyltransferase,VNG_2219G,
Q9HQG9,Uncharacterized protein,VNG_1169C,"DNA-templated transcription, initiation [GO:0006352]"
Q9HMX2,Oligopeptide ABC transporter,VNG_2344G,peptide transport [GO:0015833]
Q9HP10,Htr3 transducer,VNG_1856G,chemotaxis [GO:0006935]; signal transduction [GO:0007165]
Q9HN59,Replication factor C small subunit,VNG_2240G,DNA-dependent DNA replication [GO:0006261]
Q9HMK1,Uncharacterized protein,VNG_2508C,DNA protection [GO:0042262]
Q9HSZ1,Uncharacterized protein,VNG_0018H,
Q9HSZ7,Uncharacterized protein,VNG_0011C,
Q9HPR8,DNA helicase,VNG_1501G,"DNA replication, Okazaki fragment processing [GO:0033567]"
Q9HQ61,3-hydroxyacyl-CoA dehydrogenase,VNG_1313G,fatty acid metabolic process [GO:0006631]
Q9HRW8,Uncharacterized protein,VNG_0508H,
Q9HPS2,SnRNP homolog,VNG_1496G,
Q9HRH8,"ABC transporter, ATP-binding protein",VNG_0689G,
Q9HPJ0,3-hydroxy-3-methylglutaryl-coenzyme A synthase,VNG_1615G,"acetyl-CoA metabolic process [GO:0006084]; farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]"
Q9HMC5,Uncharacterized protein,VNG_2607C,copper ion import [GO:0015677]; iron ion import across cell outer membrane [GO:0098706]; NADPH regeneration [GO:0006740]; oxidation-reduction process [GO:0055114]
Q9HP71,Uncharacterized protein,VNG_1775C,siroheme biosynthetic process [GO:0019354]
Q9HHF9,Vng6419h,VNG_6419H,
,,,
Q9HPY9,Uncharacterized protein,VNG_1409C,
Q9HHL3,Vng6340h,VNG_6340H,
Q9HPZ3,Transcription regulator,VNG_1404G,cellular response to oxidative stress [GO:0034599]; protein repair [GO:0030091]
Q9HQC3,Uncharacterized protein,VNG_1229H,
Q9HSP9,Replication A related protein,VNG_0133G,
Q9HSA0,Uncharacterized protein,VNG_0331H,
Q9HNS7,Uncharacterized protein,VNG_1964H,mitotic cell cycle [GO:0000278]; mitotic DNA replication checkpoint [GO:0033314]
Q9HI08,Vng6133h,VNG_6133H,
Q9HM71,Uncharacterized protein,VNG_2677H,
Q9HPM5,Uncharacterized protein,VNG_1562H,
Q9HQ24,Ornithine cyclodeaminase,VNG_1364G,
Q9HHM6,Vng6321h,VNG_6321H,
Q9HHS5,Vng6251h,VNG_6251H,
Q9HMF4,Uncharacterized protein,VNG_2569H,
Q9HS91,Uncharacterized protein,VNG_0347H,
Q9HQ51,Uncharacterized protein,VNG_1326H,
Q9HHG2,Vng6413h,VNG_6413H,
Q9HQM9,Uncharacterized protein,VNG_1086C,
Q9HS83,Uncharacterized protein,VNG_0360C,
Q9HSZ2,Uncharacterized protein,VNG_0017H,
Q9HPP2,Glucose 1-dehydrogenase,VNG_1540G,
Q9HN80,Pre-mRNA splicing helicase,VNG_2213G,
Q9HPI7,Uncharacterized protein,VNG_1617H,
Q9HPK8,Uncharacterized protein,VNG_1585C,
Q9HRF5,Uncharacterized protein,VNG_0724H,
Q9HQF5,Coenzyme PQQ synthesis protein,VNG_1185G,
Q9HRW9,Uncharacterized protein,VNG_0507C,
Q9HSN0,Mercury(II) reductase,VNG_0154G,cell redox homeostasis [GO:0045454]; oxidation-reduction process [GO:0055114]
Q9HMG2,Uncharacterized protein,VNG_2556H,
Q9HPU0,Uncharacterized protein,VNG_1473H,
Q9HNA0,Histidine triad protein,VNG_2186G,
Q9HHV6,Vng6208c,VNG_6208C,
Q9HHX4,Vng6185h,VNG_6185H,
Q9HQ01,Uncharacterized protein,VNG_1394H,
Q9HPL4,Uncharacterized protein,VNG_1577C,
Q9HSN6,Uncharacterized protein,VNG_0148H,
,,,
Q9HHU7,Cationic amino acid transporter,VNG_6220G,
Q9HMX3,Oligopeptide ABC transporter ATP-binding,VNG_2343G,peptide transport [GO:0015833]
Q9HPI1,Uncharacterized protein,VNG_1625H,
Q9HQT3,Uncharacterized protein,VNG_1015H,
Q9HMU2,Uncharacterized protein,VNG_2385H,
Q9HRM2,N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase),VNG_0633G,'de novo' IMP biosynthetic process [GO:0006189]
Q9HRU1,Uncharacterized protein,VNG_0544H,
Q9HQ93,Uncharacterized protein,VNG_1268H,
Q9HSX5,Uncharacterized protein,VNG_0035H,"transposition, DNA-mediated [GO:0006313]"
,,,
Q9HMF6,Uncharacterized protein,VNG_2566H,
Q9HQ88,GTP-binding protein,VNG_1275G,
Q9HP46,Uncharacterized protein,VNG_1807H,
Q9HRS2,Uncharacterized protein,VNG_0571C,
Q9HSC9,N-methyltransferase homolog,VNG_0294G,
Q9HHU1,Vng6226h,VNG_6226H,
Q9HR55,Uncharacterized protein,VNG_0857C,
Q9HRI5,Farnesyl-diphosphate farnesyltransferase,VNG_0680G,ergosterol biosynthetic process [GO:0006696]; farnesyl diphosphate metabolic process [GO:0045338]
Q9HND1,Uncharacterized protein,VNG_2152C,
Q9HNX4,Uncharacterized protein,VNG_1903C,
Q9HPY8,Uncharacterized protein,VNG_1410H,
Q9HST6,Molybdenum cofactor biosynthesis protein,VNG_0081G,molybdopterin cofactor biosynthetic process [GO:0032324]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]
Q9HP88,Phytoene dehydrogenase,VNG_1755G,carotenoid biosynthetic process [GO:0016117]
Q9HMT0,Uncharacterized protein,VNG_2400H,
Q9HS37,Cytochrome P450,VNG_0422G,
Q9HRC1,Uncharacterized protein,VNG_0764C,NADP biosynthetic process [GO:0006741]
Q9HQL7,Uncharacterized protein,VNG_1100C,
Q9HPV0,Cell division cycle protein,VNG_1462G,cell division [GO:0051301]
Q9HI30,Vng6005h,VNG_6005H,
Q9HRY7,Uncharacterized protein,VNG_0485H,
Q9HQP2,Transmembrane oligosaccharyl transferase,VNG_1068G,protein glycosylation [GO:0006486]
Q9HP76,Uncharacterized protein,VNG_1770C,
Q9HSS5,Ribosomal protein S6 modification protein,VNG_0098G,
Q9HQX1,Uncharacterized protein,VNG_0965C,
Q9HRF7,DNA damage-inducible protein,VNG_0720G,
Q9HQV7,Uncharacterized protein,VNG_0987H,
,,,
Q9HQP9,Uncharacterized protein,VNG_1060H,
Q9HQQ0,Uncharacterized protein,VNG_1059C,
,,,
Q9HM74,Uncharacterized protein,VNG_2673H,
Q9HS63,Uncharacterized protein,VNG_0388C,
Q9HSS8,Uncharacterized protein,VNG_0096C,
Q9HRB4,Uncharacterized protein,VNG_0772H,
Q9HSJ5,Uncharacterized protein,VNG_0198H,
Q9HRH7,Uncharacterized protein,VNG_0690C,
Q9HR10,Adaptive-response sensory-kinase,VNG_0916G,"regulation of transcription, DNA-templated [GO:0006355]"
Q9HHF0,Vng6437c,VNG_6437C,
Q9HQY6,Uncharacterized protein,VNG_0945H,
Q9HPS8,Uncharacterized protein,VNG_1487H,
Q9HSA9,Uncharacterized protein,VNG_0320H,
Q9HMS1,Uncharacterized protein,VNG_2413H,
Q9HSI7,Uncharacterized protein,VNG_0209H,DNA integration [GO:0015074]; DNA recombination [GO:0006310]
Q9HRI3,Uncharacterized protein,VNG_0682C,
Q9HQR7,Uncharacterized protein,VNG_1036H,
Q9HRM8,Citrate (Pro-3S)-lyase,VNG_0627G,oxaloacetate metabolic process [GO:0006107]
Q9HS39,Uncharacterized protein,VNG_0420H,
Q9HMR2,Glycolate oxidase subunit,VNG_2422G,lactate catabolic process [GO:1903457]
Q9HR70,Uncharacterized protein,VNG_0834C,
Q9HHW4,Vng6197h,VNG_6197H,
Q9HME5,Uncharacterized protein,VNG_2581H,metal ion transport [GO:0030001]
Q9HRY1,Uncharacterized protein,VNG_0492H,
Q9HSS1,Phosphoglycerate dehydrogenase,VNG_0104G,cellular amino acid metabolic process [GO:0006520]
Q9HNS9,Uncharacterized protein,VNG_1962C,nucleoside phosphate metabolic process [GO:0006753]; ribose phosphate metabolic process [GO:0019693]
Q9HR99,Halocyanin-like,VNG_0795G,
Q9HMN7,Uncharacterized protein,VNG_2456C,
Q9HNC5,Putative oxidoreductase,VNG_2158G,
Q9HQN6,"1,4-dihydroxy-2-naphthoate octaprenyltransferase (DHNA-octaprenyltransferase) (EC 2.5.1.74)",VNG_1075G,"menaquinone biosynthetic process [GO:0009234]; ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate [GO:0032194]; vitamin K biosynthetic process [GO:0042371]"
Q9HNX9,Uncharacterized protein,VNG_1898C,
Q9HNT6,Uncharacterized protein,VNG_1952H,
Q9HNW4,Uncharacterized protein,VNG_1917H,
Q9HQU7,Probable oxidoreductase,VNG_0998G,
Q9HRW0,Uncharacterized protein,VNG_0520H,
Q9HQZ4,NADH oxidase,VNG_0935G,
Q9HPA1,Uncharacterized protein,VNG_1734H,
Q9HNN6,Uncharacterized protein,VNG_2019C,membrane protein intracellular domain proteolysis [GO:0031293]
Q9HNT4,Uncharacterized protein,VNG_1954H,
Q9HS96,Uncharacterized protein,VNG_0340C,
Q9HQ62,3-methyladenine DNA glycosylase,VNG_1311G,"base-excision repair, AP site formation [GO:0006285]; DNA dealkylation involved in DNA repair [GO:0006307]"
Q9HQ13,Transcription regulator,VNG_1377G,
Q9HNH5,Uncharacterized protein,VNG_2101H,
Q9HNF2,Uncharacterized protein,VNG_2129H,
Q9HS14,Phosphate-specific transport system accessory protein PhoU,VNG_0451G,cellular phosphate ion homeostasis [GO:0030643]; negative regulation of phosphate metabolic process [GO:0045936]; phosphate ion transport [GO:0006817]
P82857,Cytochrome-like protein,VNG_0249G,
Q9HPN2,Cobalamin biosynthesis,VNG_1553G,cobalamin biosynthetic process [GO:0009236]
Q9HHG3,Vng6412h,VNG_6412H,
Q9HQ35,Uncharacterized protein,VNG_1349C,
Q9HML4,Uncharacterized protein,VNG_2488C,
Q9HSD4,Uncharacterized protein,VNG_0286C,
Q9HR95,Uncharacterized protein,VNG_0800H,
Q9HMJ3,Uncharacterized protein,VNG_2516C,
Q9HR78,Probable molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase),VNG_0824G,Mo-molybdopterin cofactor biosynthetic process [GO:0006777]
Q9HRK6,Uncharacterized protein,VNG_0654C,
Q9HRR4,Uncharacterized protein,VNG_0581H,
Q9HP36,Uncharacterized protein,VNG_1823C,
Q9HR21,Ribose ABC transporter ATP-binding,VNG_0901G,
Q9HMY4,S-adenosyl-L-methionine:uroporphyrinogen III methyltransferase,VNG_2331G,oxidation-reduction process [GO:0055114]; siroheme biosynthetic process [GO:0019354]
Q9HQE7,Uncharacterized protein,VNG_1196H,
Q9HR50,Uncharacterized protein,VNG_0863H,
Q9HQT1,Alcohol dehydrogenase,VNG_1018G,
Q9HHR8,"ABC transporter, permease protein",VNG_6262G,
Q9HNU6,Uncharacterized protein,VNG_1940H,
Q9HRQ9,Uncharacterized protein,VNG_0586C,
Q9HN84,Uncharacterized protein,VNG_2207H,
Q9HHX1,Vng6188h,VNG_6188H,
Q9HRE1,Uncharacterized protein,VNG_0740C,tryptophan catabolic process to kynurenine [GO:0019441]
Q9HRN8,Uncharacterized protein,VNG_0612H,
Q9HQQ5,Probable transport protein,VNG_1054G,
Q9HSN8,Uncharacterized protein,VNG_0146H,
Q9HP92,GTP-binding protein homolog,VNG_1749G,
Q9HMQ8,D-lactate dehydrogenase,VNG_2429G,transmembrane transport [GO:0055085]
Q9HP44,Succinoglycan biosynthesis,VNG_1811G,response to antibiotic [GO:0046677]
Q9HNH8,Uncharacterized protein,VNG_2098H,
Q9HPE3,Uncharacterized protein,VNG_1678H,
Q9HSQ9,Uncharacterized protein,VNG_0120H,
Q9HRL1,NADH dehydrogenase/oxidoreductase,VNG_0648G,ATP synthesis coupled electron transport [GO:0042773]
Q9HSP1,Uncharacterized protein,VNG_0142C,
Q9HMM7,Uncharacterized protein,VNG_2470C,
Q9HM95,Uncharacterized protein,VNG_2643H,
Q9HME7,Iron-dependent repressor homolog,VNG_2579G,"negative regulation of transcription, DNA-templated [GO:0045892]"
Q9HR69,Iron-dependent repressor homolog,VNG_0835G,"negative regulation of transcription, DNA-templated [GO:0045892]"
Q9HNC3,Uncharacterized protein,VNG_2160C,
Q9HR77,Uncharacterized protein,VNG_0825C,Mo-molybdopterin cofactor biosynthetic process [GO:0006777]
Q9HNK3,Dolichol-P-glucose transferase,VNG_2065G,protein N-linked glycosylation [GO:0006487]
Q9HRE4,Signal-transducing histidine kinase homolog,VNG_0736G,"regulation of transcription, DNA-templated [GO:0006355]"
Q9HMR3,O-acetyl homoserine,VNG_2421G,cellular amino acid metabolic process [GO:0006520]
Q9HNW6,Peptidyl-prolyl isomerase,VNG_1914G,protein folding [GO:0006457]
Q9HPM3,Protoporphyrin IX magnesium chelatase,VNG_1565G,
Q9HQ30,Uncharacterized protein,VNG_1355H,
Q9HPX9,Uncharacterized protein,VNG_1423H,
Q9HQ26,Uncharacterized protein,VNG_1360H,
Q9HHL8,Vng6332h,VNG_6332H,
Q9HST5,Molybdenum cofactor biosynthesis protein,VNG_0084G,
Q9HRB3,Acyl-CoA dehydrogenase,VNG_0775G,
Q9HS53,Uncharacterized protein,VNG_0402H,
Q9HRX4,Aspartate aminotransferase,VNG_0502G,biosynthetic process [GO:0009058]
Q9HS51,Uncharacterized protein,VNG_0404H,
Q9HSZ3,Uncharacterized protein,VNG_0016H,
Q9HRS4,Uncharacterized protein,VNG_0570H,
Q9HPA3,Uncharacterized protein,VNG_1732C,
Q9HQY1,Uncharacterized protein,VNG_0953C,
Q9HQM0,Uncharacterized protein,VNG_1096H,
Q9HS46,Uncharacterized protein,VNG_0409C,
Q9HMU0,Uncharacterized protein,VNG_2387H,
Q9HQ42,Uncharacterized protein,VNG_1340C,
Q9HQ76,Uncharacterized protein,VNG_1292H,
Q9HPE7,Uncharacterized protein,VNG_1672H,
Q9HPN5,Uncharacterized protein,VNG_1548C,"regulation of transcription, DNA-templated [GO:0006355]"
Q9HQ59,Uncharacterized protein,VNG_1315H,
Q9HPQ1,Sodium-and chloride-dependent transporter,VNG_1528G,
Q9HMX7,Uncharacterized protein,VNG_2339C,
Q9HPT7,Uncharacterized protein,VNG_1476C,
Q9HP96,Uncharacterized protein,VNG_1743C,"regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"
Q9HHL6,Vng6335h,VNG_6335H,
Q9HNL9,Uncharacterized protein,VNG_2042H,
Q9HPY0,Uncharacterized protein,VNG_1422H,
Q9HI15,Vng6036h,VNG_6036H,
Q9HMI0,Uncharacterized protein,VNG_2532H,
Q9HMJ9,Uncharacterized protein,VNG_2510H,
Q9HM88,Homoserine dehydrogenase,VNG_2650G,homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]
Q9HS04,Copper transport ATP-binding protein,VNG_0465G,
Q9HQC8,Uncharacterized protein,VNG_1220H,
F2Z6F3,Vng6319h,VNG_6319H,
Q9HHV4,Gamma-aminobutyrate aminotransferase,VNG_6210G,biosynthetic process [GO:0009058]
Q9HRP8,Uncharacterized protein,VNG_0600C,
Q9HSR3,Uncharacterized protein,VNG_0116H,
Q9HMK9,Uncharacterized protein,VNG_2497H,
Q9HPP7,Uncharacterized protein,VNG_1533H,
Q9HPG8,Vitamin B12-dependent ribonucleotide reductase (EC 1.17.4.1),VNG_1644G,DNA biosynthetic process [GO:0071897]; DNA replication [GO:0006260]
Q9HPJ3,Uncharacterized protein,VNG_1610C,
Q9HN04,Uncharacterized protein,VNG_2306H,
Q9HRU7,Uncharacterized protein,VNG_0537C,
Q9HRE9,Uncharacterized protein,VNG_0731H,
Q9HRL8,NADH dehydrogenase/oxidoreductase,VNG_0639G,aerobic respiration [GO:0009060]
Q9HNA8,Uncharacterized protein,VNG_2178H,
,,,
Q9HQR1,Uncharacterized protein,VNG_1047H,
Q9HR23,Ribose ABC transporter permease,VNG_0897G,
Q9HNF7,Na+/H+ antiporter,VNG_2123G,
Q9HS41,Uncharacterized protein,VNG_0417H,
Q9HHH3,Vng6400h,VNG_6400H,
Q9HQJ7,Iron-sulfur cluster carrier protein,VNG_1131G,iron-sulfur cluster assembly [GO:0016226]
Q9HRP3,Cysteine synthase,VNG_0606G,
Q9HR89,Uncharacterized protein,VNG_0811H,
Q9HMK5,Uncharacterized protein,VNG_2502C,dGTP catabolic process [GO:0006203]
Q9HR16,Proline permease,VNG_0908G,proline transport [GO:0015824]
Q9HQI2,Uncharacterized protein,VNG_1151H,
Q9HHL5,Spo0A activation inhibitor,VNG_6337G,
Q9HHF1,Vng6434h,VNG_6434H,
Q9HQM4,Uncharacterized protein,VNG_1092C,
Q9HP12,Uncharacterized protein,VNG_1852H,
Q9HQ68,Uncharacterized protein,VNG_1303C,
Q9HP54,Uncharacterized protein,VNG_1795C,
Q9HQR9,Uncharacterized protein,VNG_1034H,
Q9HMZ5,Uncharacterized protein,VNG_2316C,
Q9HQ69,Uncharacterized protein,VNG_1302H,
Q9HNN5,Uncharacterized protein,VNG_2020C,
Q9HP17,Uncharacterized protein,VNG_1848H,
Q9HMF5,Uncharacterized protein,VNG_2567C,
Q9HRI8,3-ketoacyl-CoA thiolase,VNG_0678G,
Q9HQ92,Uncharacterized protein,VNG_1270H,
Q9HPV1,Uncharacterized protein,VNG_1461H,
Q9HQB7,Uncharacterized protein,VNG_1236C,
Q9HMS2,Uncharacterized protein,VNG_2412H,
Q9HQ05,Uncharacterized protein,VNG_1387H,
Q9HN55,Uncharacterized protein,VNG_2244H,
Q9HPF1,Uncharacterized protein,VNG_1666H,
Q9HNC2,Uncharacterized protein,VNG_2162C,
Q9HQF6,Uncharacterized protein,VNG_1183H,
Q9HR06,Spermidine/putrescine ABC transporter ATP-binding,VNG_0921G,
Q9HP01,Spermidine/putrescine ABC transporter permease,VNG_1868G,transmembrane transport [GO:0055085]
Q9HHQ2,Vng6286h,VNG_6286H,
Q9HQ33,Transcription regulator,VNG_1351G,
Q9HNH3,Potassium channel homolog,VNG_2104G,potassium ion transport [GO:0006813]
Q9HSH3,Uncharacterized protein,VNG_0230C,
Q9HN32,Uncharacterized protein,VNG_2273H,
Q9HSR8,"Type I restriction modification enzyme, S subunit",VNG_0107G,DNA modification [GO:0006304]
Q9HRV0,Uncharacterized protein,VNG_0534C,
Q9HNA1,Uncharacterized protein,VNG_2185H,
Q9HSX4,Uncharacterized protein,VNG_0037H,
Q9HRP2,Uncharacterized protein,VNG_0608C,
Q9HSX6,Uncharacterized protein,VNG_0034H,
Q9HHZ6,Vng6155h,VNG_6155H,
Q9HPG2,Uncharacterized protein,VNG_1650H,
Q9HSW4,Glucose-1-phosphate thymidylyltransferase,VNG_0047G,biosynthetic process [GO:0009058]
Q9HRS8,NADH dehydrogenase/oxidoreductase,VNG_0563G,ATP synthesis coupled electron transport [GO:0042773]
Q9HQU8,Acetyl-CoA synthetase,VNG_0997G,acetyl-CoA biosynthetic process from acetate [GO:0019427]
,,,
Q9HHM8,Transcription regulator,VNG_6318G,"negative regulation of transcription, DNA-templated [GO:0045892]"
Q9HMB0,Uncharacterized protein,VNG_2626H,
Q9HQZ2,Glyceraldehyde-3-phosphate dehydrogenase,VNG_0937G,
Q9HRN5,Uncharacterized protein,VNG_0615C,potassium ion transport [GO:0006813]
Q9HS27,Uncharacterized protein,VNG_0435H,
Q9HPE6,Uncharacterized protein,VNG_1674H,
O51981,Vng6103h,VNG_6103H,
O54613,Vng6083h (Vng6443h),VNG_6083H VNG_6443H,
O51972,Vng6038h,VNG_6038H,"transposition, DNA-mediated [GO:0006313]"
O54662,Probable membrane transporter protein,VNG_6071C VNG_6455C,
O51989,Vng6119h,VNG_6119H,
O54573,SojC (Spo0A activation inhibitor),VNG_6086G,
O54533,Vng6085h,VNG_6085H,
O54664,Vng6084h (Vng6442h),VNG_0021H VNG_6084H VNG_6442H,
O51979,Vng6101h,VNG_6101H,
O51976,Vng6095c,VNG_6095C,
O54559,Vng6061h (Vng6465h),VNG_6061H VNG_6465H,
O54644,Vng6042h (Vng6484h),VNG_6042H; VNG_6484H,"transposition, DNA-mediated [GO:0006313]"
O51977,Vng6097c,VNG_6097C,
O51962,SojA (Spo0A activation inhibitor),VNG_6010G,
Q9HHE1,Vng6078h (Vng6448h),VNG_6078H VNG_6448H,
O51966,Vng6016h (Vng6395h),VNG_0052H; VNG_6016H; VNG_6395H,"transposition, DNA-mediated [GO:0006313]"
Q9HHE6,Vng6077h (Vng6449h),VNG_6077H VNG_6449H,
Q7LYM0,Vng6040h (Vng6486h),VNG_6040H; VNG_6486H,"transposition, DNA-mediated [GO:0006313]"
Q9HHD7,Vng6051h (Vng6475h),VNG_6051H VNG_6475H,
O51963,Vng6011h,VNG_6011H,
O51965,RepH (Replication protein),VNG_6013G,
O51955,Vng6001h,VNG_6001H,
O52003,ATP-dependent RNA helicase,VNG_6139G,
O51987,Vng6116h,VNG_6116H,
O51991,SojD (Spo0A activation inhibitor),VNG_6123G,
Q9HHE5,Vng6070h (Vng6456h),VNG_6070H VNG_6456H,
,,,
Q9HI34,Vng6106h (Vng6161h) (Vng6345h),VNG_1653H; VNG_6106H; VNG_6161H; VNG_6345H,"transposition, DNA-mediated [GO:0006313]"
O54648,Vng6079h (Vng6147h) (Vng6447h),VNG_0059H; VNG_0337H; VNG_2175H; VNG_6079H; VNG_6147H; VNG_6447H,"transposition, DNA-mediated [GO:0006313]"
O51959,Vng6007h,VNG_6007H,
O54596,CydB (Cytochrome d oxidase chain II),VNG_6055G; VNG_6471G,aerobic electron transport chain [GO:0019646]
O51960,Vng6008h,VNG_6008H,
O54601,Vng6062h (Vng6464h),VNG_6062H; VNG_6464H,
O51993,Vng6125h,VNG_6125H,
O54654,Vng6087c,VNG_6087C,
Q9HI32,Vng6015h (Vng6111h),VNG_0112H VNG_6015H VNG_6111H,
O54590,Vng6076h (Vng6450h),VNG_6076H; VNG_6450H,DNA integration [GO:0015074]; DNA recombination [GO:0006310]
O51969,SojB (Spo0A activation inhibitor),VNG_6034G,
